[2026-01-06 20:21:13] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:32] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:36] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:39] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:43] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:47] Client: c111 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:52] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:53] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:21:59] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:22:02] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:23:22] Client: anonymous | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:24:16] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:24:16] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:28:03] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:28:04] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:29:12] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:29:13] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:29:57] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:29:57] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:30:05] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:30:05] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 20:30:07] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:30:07] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:30:14] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:30:14] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:31:55] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:31:56] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:32:45] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 20:32:45] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 21:01:02] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 21:01:41] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 21:05:51] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 21:05:51] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 21:05:53] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 21:05:53] Client: client-001 | Command: GET_ALL_COURSES | Details: Listare cursuri
[2026-01-06 21:05:58] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 21:05:58] Client: client-001 | Command: GET_ALL_STUDENTS | Details: Listare studenți
[2026-01-06 21:06:02] Client: client-001 | Command: GET_COMPLETED_COURSES | Details: Student: 123456789
